code_insee,commune,code_region,region,departement,log_rp,log_proprio,log_loc,log_hlm,log_sec,log_maison,log_appart,age_0_14,age_15_29,age_75p,femmes,chom,agric,indep,cadres,interm,empl,ouvr,etud,dipl_aucun,dipl_bepc,dipl_capbep,dipl_bac,dipl_sup2,dipl_sup34,dipl_sup,resid_sec,proprio,locataire,hlm,maison,appart
42005,Andrézieux-Bouthéon,84,Auvergne-Rhône-Alpes,Loire,3967,2130,1752,869,51,1911,2042,20.030800821355236,17.38193018480493,8.37782340862423,52.412731006160165,11.839220462850182,0,6.333739342265529,10.71863580998782,23.995127892813642,29.84165651644336,31.059683313032888,42.896551724137936,27.122507122507123,5.527065527065527,27.150997150997153,16.538461538461537,10.256410256410255,6.794871794871795,6.6096866096866105,1.2692882030861126,53.692966977564915,44.16435593647592,21.905722208217796,48.172422485505415,51.47466599445425
42011,Balbigny,84,Auvergne-Rhône-Alpes,Loire,1197.35782929612,762.420156261202,407.306338512696,94.1512139275578,48.8501695176452,972.213622078042,222.074058937827,18.90190073756147,13.819390834124274,13.72298846966503,51.18799416358667,10.55485535304191,0.8944792672069393,7.603073771259015,8.944792672069394,18.78406461134577,31.30677435224301,34.88469142107076,29.422530831888917,28.80773213917055,5.616668539423371,30.285172588293634,16.513128137422783,8.54300004735822,4.388120746284043,5.846177802047315,3.9199049889059037,63.67521367521346,34.01709401709392,7.863247863247835,81.19658119658085,18.547008547008517
42019,Boën-sur-Lignon,84,Auvergne-Rhône-Alpes,Loire,1557.98157287255,881.094036554668,656.155911928359,154.450601701936,42.9906046615811,1018.95933874499,533.839328030181,13.09433649991562,11.659168577354698,20.56427738652044,53.58276030726042,14.399216358409356,0,8.392181313183386,7.067100053207065,20.317912652970314,28.521178248385777,30.035175226130022,29.815300297481496,33.133496791284635,5.68794332300982,30.20523851167518,14.585729511322562,7.133271433233548,5.601410665800967,3.6529097636732835,2.685281185073223,56.55355954757147,42.11576846307383,9.913506320691942,65.40252827677992,34.26480372588152
42022,Bonson,84,Auvergne-Rhône-Alpes,Loire,1632,1151,461,247,19,1346,285,18.88888888888889,14.469696969696969,8.535353535353535,50.656565656565654,9.294320137693632,0,7.458405048766495,7.458405048766495,24.38324727481354,32.98909925415949,27.538726333907054,40.082644628099175,21.58976086224318,5.692152239811384,32.56988885146514,18.322667564836646,10.575951498821153,6.736274840013473,4.513304142809027,1.150817686250757,70.52696078431373,28.247549019607842,15.134803921568626,82.47549019607843,17.463235294117645
42023,Bourg-Argental,84,Auvergne-Rhône-Alpes,Loire,1296,787,481,170,72,769,521,17.33788395904437,13.378839590443686,14.232081911262798,51.97952218430034,9.854851031321619,0.7639419404125287,6.493506493506493,11.841100076394193,19.862490450725744,30.557677616501145,32.84950343773873,30.201342281879196,27.147307521139297,4.316866933689364,29.773030707610147,17.80151312861593,9.879839786381844,7.1206052514463725,3.9608366711170446,5.263157894736842,60.7253086419753,37.114197530864196,13.117283950617283,59.336419753086425,40.20061728395062
42044,Le Chambon-Feugerolles,84,Auvergne-Rhône-Alpes,Loire,5140.69907080485,2436.59848917443,2630.98930432524,1897.15271838359,59.6475088212587,2127.36571072795,2983.88159272071,19.51762448891336,16.636792030467213,12.029556328506533,52.812356220526894,19.034791911584257,0,5.118715810642489,6.1069463369231585,19.36006543752549,30.103024181417563,37.17070842201946,41.167889817089666,34.96200169182627,4.768322951369294,31.527002324454774,13.87672723080676,7.988196517808643,4.40909522330509,2.4686540604291975,1.146991030462189,47.39819342883547,51.179601608411616,36.90456671852149,41.382809641780504,58.044276695106
42052,Charlieu,84,Auvergne-Rhône-Alpes,Loire,1976.61754982834,709.835031706308,1242.95588768713,343.500588769766,66.4292064837423,740.61109601805,1233.02812500592,13.862727568977046,16.80586989110337,16.222883261437435,54.336769896123336,13.527451836035384,0.9265377969887258,6.485764578921087,8.956532037557658,22.854598992388514,24.707674586366004,31.190204499049827,25.21147758038915,31.141427227925323,5.928876816843405,26.12093729020729,15.387694339596617,9.38456501866073,6.9546048923294785,5.081894414437229,3.2514775434534897,35.91160220994465,62.88297338021079,17.378201908588608,37.46860873932687,62.3807132094422
42056,Chavanay,84,Auvergne-Rhône-Alpes,Loire,1225,884,329,89,50,1035,188,18.765175164758933,15.157821713492888,8.220603537981269,50.01734304543878,9.527121001390821,3.8247566063977745,6.606397774687066,11.126564673157164,23.64394993045897,28.16411682892907,23.29624478442281,29.94011976047904,21.35561745589601,5.43175487465181,28.226555246053852,19.03435468895079,13.509749303621168,7.3351903435468895,5.10677808727948,3.9215686274509802,72.16326530612245,26.857142857142858,7.26530612244898,84.48979591836735,15.346938775510205
42059,Chazelles-sur-Lyon,84,Auvergne-Rhône-Alpes,Loire,2470.99999999999,1402.74525501133,1023.02210485905,355.117909571175,52.2363636363634,1463.36377589838,1001.61933801953,16.56998917944452,16.695534462833184,13.650071478362156,51.531028127752606,9.778587655136423,1.4336239365575107,10.268451918271165,7.7917950001949174,22.17851022801845,26.08695868217935,32.47308296640483,32.32958970167953,31.6224589004827,5.0234044394371224,29.098057379883823,15.98058243891459,9.63246827996422,4.9120726624819255,3.730955898835564,2.070212857945783,56.76832274428716,41.40113738806371,14.371424911824219,59.22152067577442,40.5349792804344
42069,Commelle-Vernay,84,Auvergne-Rhône-Alpes,Loire,1199,1078.89047618101,111.784035066289,23.407042448695,8.21463414634144,1182.41157980137,15.5926360720356,17.78504853637772,11.90898215398426,7.145264200011113,50.83454601614221,7.657482474967191,1.1701920342612697,4.98467506937207,13.336097397484334,32.97400605466419,27.582605254649184,23.343050498646807,46.41560887869945,21.21509158262476,4.5744872954104645,31.455639376733984,18.866191625165282,10.56197983084597,8.022956575645033,5.303653713574517,0.6804617765547765,89.98252511935029,9.323105510115846,1.9522137154874897,98.61647871571058,1.3004700643899583
