code_insee,commune,code_region,region,code_departement,departement,log_rp,log_proprio,log_loc,log_hlm,log_sec,log_maison,log_appart,age_0_14,age_15_29,age_75p,femmes,chom,agric,indep,cadres,interm,empl,ouvr,etud,dipl_aucun,dipl_bepc,dipl_capbep,dipl_bac,dipl_sup2,dipl_sup34,dipl_sup,resid_sec,proprio,locataire,hlm,maison,appart
2B009,Aléria,94,Corse,2B,Haute-Corse,919.792547023681,423.16098187035,443.115501476655,72.164514924714,403.275705186532,536.639543247409,367.89073241982,16.535867236443814,13.833822936614034,8.283674153375767,47.56228336258772,16.300615017207782,5.098877351239682,10.629781828331913,6.94219153902181,17.358304077650256,31.655717409887846,25.52938744812416,27.071163885914622,27.024310682390666,7.5951131460350165,19.799844638281765,15.69883907194891,8.706771201747099,8.007009037909299,13.168112221687247,30.480340263085566,46.00613293069608,48.17559164949905,7.845738167614883,58.34354115869921,39.99714213930767
2B033,Bastia,94,Corse,2B,Haute-Corse,20306.1909150557,8160.07808532761,11792.1241665397,4111.05608550657,365.00528712403,1662.32468593452,18584.9998132811,17.709368053525207,16.427706849332115,9.95894281145833,52.618216866596455,12.022708304831358,0.2501545375387706,8.239960667992827,10.782920644886008,21.89726184089891,36.99292885513611,20.289173784377848,48.554271907796476,23.181212161410787,7.216440769725375,19.395838927413696,21.919806376326807,9.701641402235623,9.29479884745858,9.290261515429224,1.7657676099341608,40.18517367172713,58.07157145260866,20.245333567008338,8.186294972249158,91.52381109300785
2B037,Biguglia,94,Corse,2B,Haute-Corse,3378,2049,1216,59,96,1887,1477,17.83092887876487,15.641609719058467,6.150341685649203,51.63249810174639,7.888040712468193,0.7379134860050891,9.592875318066158,11.399491094147583,26.48854961832061,34.07124681933843,17.07379134860051,37.20472440944882,18.707198931017206,7.5329881409721065,21.529981626858195,22.48204442959746,12.243193586103224,9.73776515784199,7.766828127609822,2.763385146804836,60.65719360568384,35.99763173475429,1.7465956187092953,55.86145648312611,43.72409709887508
2B042,Borgo,94,Corse,2B,Haute-Corse,3417.99999999978,2006.36210044185,1279.92341667159,186.995218396946,1407.29499561018,2275.96232892601,1123.84078632313,18.77740623883524,17.405570920156556,6.127228729478987,48.89258775726118,11.078168864360304,1.018762346833298,8.577740766614598,7.3490263488793035,23.323454562820288,36.09814455653265,22.529164262175,38.736226861008376,23.688238728634676,6.8201588187850435,22.9893173361509,23.31260148046225,9.990579800746566,7.686209651412488,5.512894183808084,29.164952544674115,58.69988591111701,37.446559879218036,5.470895798623699,66.58754619444576,32.88006981636051
2B049,Calenzana,94,Corse,2B,Haute-Corse,1065.7556672469,693.027164658765,328.878090518946,99.1400620694795,689.538805623876,830.298019831891,232.59783793224,19.57359537702774,11.462235921355143,9.965461337999926,50.887347907944616,12.16825632237032,3.9283347182455333,17.05472145970017,6.323660765956222,16.19240408252426,37.242457549979946,18.875169255960213,36.32988933325739,13.452443285229238,12.335837320842629,21.375028461115207,27.526955740049488,10.847029368327094,9.092362852862411,5.370342971573723,39.28336904611444,65.02683363148503,30.858676207513515,9.302325581395388,77.90697674418641,21.82468694096607
2B050,Calvi,94,Corse,2B,Haute-Corse,2299.89664838602,898.867779912891,1259.83503578769,347.018645121238,2853.09181949679,726.849941500358,1554.12648230514,16.143606570453848,21.46916776150494,7.869194675712982,45.28059823466449,15.800927047302798,0.5619576564940318,10.379688478772133,5.024749360081748,13.917089650151876,56.62841039242089,12.562527145500853,10.992884381187624,31.39986294468693,9.273427707944665,17.722834068913322,20.623596422414284,7.388477878292153,7.379871966139056,6.211929011609688,55.36771210103309,39.0829640342179,54.777897809964394,15.088445185776608,31.60359149227134,67.57375308128593
2B087,Cervione,94,Corse,2B,Haute-Corse,1054.99999999999,646.798078705251,339.930935027576,25.2346268751344,728.83726415094,551.633047254525,498.211228135293,13.129221629954827,13.555335715677458,12.396231246843906,50.17062267352049,13.167027731458084,2.529176657265677,9.68733821646194,10.02473446558911,22.262656254210995,35.73650216625354,18.90431409030297,39.96795024314533,20.768891166141355,11.852598530906963,19.450202075222514,18.49217100539749,9.515126041164303,8.058588873794859,11.862422307372576,40.85783377206506,61.307874758792146,32.220941708775285,2.391907760676269,52.28749263076116,47.223813093393154
2B096,Corte,94,Corse,2B,Haute-Corse,3744.98257794254,1157.99126489093,2430.11553694216,177.814503579618,805.654947916669,647.076449522502,3057.31556090186,10.22286085303902,42.34106328998621,8.300616487494443,53.09107654376379,12.698400562869116,1.8027218138558985,8.695946071303965,12.631114734096002,21.22712222524544,36.38368112812276,16.382119428007965,89.51700018370326,25.99671869026567,7.516305578423991,13.511356665301824,20.115657673118164,6.520120955792602,12.488915679995234,13.850924757102362,17.704221514864617,30.92113890492703,64.8899023257204,4.7480729183340475,17.278490248090822,81.63764442881659
2B120,Furiani,94,Corse,2B,Haute-Corse,2297.0560060491,1501.77982449954,743.270998342161,131.795491484073,91.8706322795343,1575.9500607583,685.360738124319,16.411482629563874,15.125694460788388,8.475055654187951,50.92631726592599,10.580043774225274,0.26467322497724294,9.65515246091011,11.41354262184453,26.064177879710936,33.88174750115549,17.389041984944605,38.18037793098593,17.669508921049914,7.673758218064116,20.42838847348786,23.11751255561812,11.026247911028166,9.629390207353373,10.455193713398385,3.8456866278576816,65.37845923411236,32.35754793896277,5.73758285113645,68.60738513158455,29.836483582441193
2B123,Ghisonaccia,94,Corse,2B,Haute-Corse,1861.52622834084,916.73747923095,773.464039876568,62.1177308331354,1730.11251267222,1179.23498694517,642.217184903868,16.1328283805653,15.895625208421183,10.154220282394434,48.16132693484666,15.071297639720724,3.258658949128807,9.012132154793859,6.008152437456222,17.006126390765978,29.327930542159276,33.401254228570295,22.641509433962284,33.47408427109361,8.383599484111697,19.873352733919447,19.36062942260912,7.659835499871834,6.4837190254820625,4.76477956291241,48.1705604997518,49.246551849448245,41.54999419835996,3.3369248247713554,63.34775030251444,34.49949697868452
